,bmi,primary_eating,secondary_eating,exercise,fast_food,food_amount,stores,maj_ind,cat_occ,income_lvl,income_weekly
1189,24.299999,30.0,0.0,2.0,1.0,3.0,1.0,9,2,0,360.0
1192,23.700001,75.0,0.0,2.0,1.0,3.0,1.0,8,1,1,865.38
1217,25.700001,90.0,0.0,2.0,2.0,1.0,1.0,9,1,0,940.536575074
1219,21.0,180.0,0.0,1.0,2.0,3.0,2.0,3,5,0,300.0
1223,21.299999,40.0,15.0,2.0,1.0,3.0,1.0,9,1,1,2884.61
1226,25.1,180.0,0.0,1.0,1.0,3.0,1.0,3,5,1,940.536575074
1233,25.0,40.0,0.0,2.0,1.0,3.0,1.0,9,1,1,210.0
1239,37.200001,30.0,0.0,1.0,2.0,3.0,1.0,11,2,0,77.0
1246,27.299999,30.0,15.0,2.0,2.0,3.0,1.0,10,1,1,1500.0
1247,28.5,20.0,10.0,1.0,2.0,3.0,1.0,5,3,0,650.0
1257,26.5,0.0,0.0,1.0,2.0,2.0,1.0,12,2,0,1199.0
1269,26.6,90.0,3.0,2.0,1.0,3.0,1.0,4,1,1,2884.61
1273,25.799999,70.0,15.0,2.0,1.0,3.0,1.0,3,3,0,350.0
1332,33.0,25.0,2.0,2.0,1.0,3.0,1.0,6,6,1,1040.0
1337,29.5,75.0,0.0,1.0,2.0,3.0,1.0,3,5,1,940.536575074
1352,41.400002,50.0,0.0,1.0,1.0,3.0,2.0,9,1,1,808.4
1356,19.799999,120.0,0.0,1.0,1.0,3.0,1.0,10,1,1,1153.0
1367,28.1,35.0,5.0,1.0,1.0,3.0,1.0,9,1,1,1000.0
1369,24.700001,35.0,180.0,2.0,1.0,3.0,1.0,5,3,1,1000.0
1387,27.4,15.0,0.0,1.0,2.0,3.0,2.0,12,2,0,90.0
1392,36.900002,80.0,0.0,1.0,1.0,3.0,1.0,3,5,0,940.536575074
1393,38.599998,15.0,15.0,2.0,1.0,3.0,2.0,6,2,1,784.8
1408,30.0,30.0,30.0,2.0,1.0,3.0,1.0,6,1,1,1057.5
1409,27.5902193611,60.0,0.0,2.0,2.0,3.0,1.0,10,1,1,1647.05
1412,20.799999,30.0,0.0,1.0,1.0,3.0,1.0,11,2,0,480.0
1428,29.200001,30.0,0.0,2.0,2.0,3.0,2.0,10,1,1,700.0
1429,29.5,10.0,0.0,1.0,2.0,3.0,1.0,9,1,1,640.0
1431,21.5,15.0,0.0,2.0,2.0,3.0,1.0,5,3,1,697.9
1436,23.700001,90.0,30.0,2.0,2.0,3.0,1.0,6,6,1,940.536575074
1450,23.700001,75.0,10.0,1.0,1.0,3.0,2.0,4,6,1,638.0
1457,47.0,60.0,30.0,1.0,1.0,3.0,2.0,10,2,1,615.38
1463,21.6,60.0,15.0,2.0,2.0,3.0,1.0,10,1,1,1634.61
1466,22.1,30.0,35.0,2.0,1.0,3.0,1.0,10,1,1,1032.0
1467,29.0,50.0,0.0,2.0,1.0,3.0,2.0,10,1,1,1019.23
1486,31.1,30.0,15.0,1.0,1.0,3.0,1.0,4,6,1,851.0
1495,26.6,45.0,10.0,2.0,1.0,3.0,1.0,10,2,1,321.6
1496,35.299999,10.0,30.0,1.0,2.0,3.0,2.0,3,1,0,1900.0
1500,23.200001,100.0,10.0,2.0,1.0,1.0,5.0,10,3,1,500.0
1504,25.799999,30.0,10.0,1.0,1.0,3.0,2.0,1,1,1,940.536575074
1508,29.200001,60.0,30.0,2.0,1.0,3.0,1.0,4,1,1,2188.46
1517,22.799999,75.0,10.0,2.0,1.0,3.0,5.0,8,1,1,1923.07
1518,21.299999,40.0,0.0,2.0,2.0,3.0,1.0,9,1,1,1673.0
1524,27.0,25.0,35.0,2.0,1.0,3.0,2.0,10,1,1,1128.46
1527,33.900002,60.0,10.0,2.0,1.0,3.0,1.0,13,1,0,580.0
1574,23.5,30.0,8.0,2.0,1.0,3.0,1.0,10,1,1,923.07
1579,34.900002,50.0,0.0,2.0,2.0,3.0,2.0,1,4,0,365.38
